#  Analytical solution of Radius vs. Time for a collapsing hom sphere
#  nemoinp 0:pi:0.001 | tabmath - - "(%1+sin(%1))/(2*pi*sqrt(8/3)),0.5*(1+cos(%1))" all > iau25-tr.tab

#  Time    Radius
0.177364 0.776015 
0.177515 0.775598 
0.177666 0.77518 
0.177817 0.774763 
0.177968 0.774345 
0.178119 0.773927 
0.17827 0.773508 
0.178421 0.77309 
0.178571 0.772671 
0.178722 0.772251 
0.178872 0.771832 
0.179023 0.771412 
0.179173 0.770992 
0.179323 0.770572 
0.179474 0.770151 
0.179624 0.76973 
0.179774 0.769309 
0.179924 0.768888 
0.180073 0.768466 
0.180223 0.768044 
0.180373 0.767622 
0.180522 0.767199 
0.180672 0.766777 
0.180821 0.766354 
0.180971 0.76593 
0.18112 0.765507 
0.181269 0.765083 
0.181418 0.764659 
0.181567 0.764235 
0.181716 0.76381 
0.181865 0.763385 
0.182014 0.76296 
0.182162 0.762535 
0.182311 0.762109 
0.18246 0.761683 
0.182608 0.761257 
0.182756 0.76083 
0.182905 0.760404 
0.183053 0.759977 
0.183201 0.759549 
0.183349 0.759122 
0.183497 0.758694 
0.183645 0.758266 
0.183792 0.757838 
0.18394 0.757409 
0.184088 0.756981 
0.184235 0.756552 
0.184383 0.756122 
0.18453 0.755693 
0.184677 0.755263 
0.184824 0.754833 
0.184972 0.754403 
0.185119 0.753972 
0.185265 0.753541 
0.185412 0.75311 
0.185559 0.752679 
0.185706 0.752247 
0.185852 0.751815 
0.185999 0.751383 
0.186145 0.750951 
0.186292 0.750518 
0.186438 0.750086 
0.186584 0.749652 
0.18673 0.749219 
0.186876 0.748786 
0.187022 0.748352 
0.187168 0.747918 
0.187314 0.747483 
0.187459 0.747049 
0.187605 0.746614 
0.18775 0.746179 
0.187896 0.745743 
0.188041 0.745308 
0.188186 0.744872 
0.188331 0.744436 
0.188476 0.744 
0.188621 0.743563 
0.188766 0.743126 
0.188911 0.742689 
0.189056 0.742252 
0.189201 0.741815 
0.189345 0.741377 
0.18949 0.740939 
0.189634 0.740501 
0.189778 0.740062 
0.189922 0.739623 
0.190067 0.739184 
0.190211 0.738745 
0.190355 0.738306 
0.190498 0.737866 
0.190642 0.737426 
0.190786 0.736986 
0.19093 0.736546 
0.191073 0.736105 
0.191217 0.735664 
0.19136 0.735223 
0.191503 0.734782 
0.191646 0.73434 
0.191789 0.733898 
0.191932 0.733456 
0.192075 0.733014 
0.192218 0.732572 
0.192361 0.732129 
0.192504 0.731686 
0.192646 0.731243 
0.192789 0.730799 
0.192931 0.730356 
0.193073 0.729912 
0.193216 0.729468 
0.193358 0.729023 
0.1935 0.728579 
0.193642 0.728134 
0.193784 0.727689 
0.193926 0.727244 
0.194067 0.726798 
0.194209 0.726352 
0.19435 0.725906 
0.194492 0.72546 
0.194633 0.725014 
0.194775 0.724567 
0.194916 0.72412 
0.195057 0.723673 
0.195198 0.723226 
0.195339 0.722778 
0.19548 0.722331 
0.19562 0.721883 
0.195761 0.721435 
0.195902 0.720986 
0.196042 0.720538 
0.196183 0.720089 
0.196323 0.71964 
0.196463 0.71919 
0.196603 0.718741 
0.196743 0.718291 
0.196883 0.717841 
0.197023 0.717391 
0.197163 0.716941 
0.197303 0.71649 
0.197442 0.716039 
0.197582 0.715588 
0.197721 0.715137 
0.197861 0.714686 
0.198 0.714234 
0.198139 0.713782 
0.198278 0.71333 
0.198417 0.712878 
0.198556 0.712425 
0.198695 0.711972 
0.198834 0.711519 
0.198972 0.711066 
0.199111 0.710613 
0.199249 0.710159 
0.199388 0.709705 
0.199526 0.709251 
0.199664 0.708797 
0.199802 0.708343 
0.19994 0.707888 
0.200078 0.707433 
0.200216 0.706978 
0.200354 0.706523 
0.200491 0.706068 
0.200629 0.705612 
0.200767 0.705156 
0.200904 0.7047 
0.201041 0.704244 
0.201179 0.703787 
0.201316 0.703331 
0.201453 0.702874 
0.20159 0.702417 
0.201727 0.701959 
0.201863 0.701502 
0.202 0.701044 
0.202137 0.700586 
0.202273 0.700128 
0.20241 0.69967 
0.202546 0.699211 
0.202682 0.698753 
0.202818 0.698294 
0.202954 0.697835 
0.20309 0.697375 
0.203226 0.696916 
0.203362 0.696456 
0.203498 0.695996 
0.203633 0.695536 
0.203769 0.695076 
0.203904 0.694615 
0.20404 0.694155 
0.204175 0.693694 
0.20431 0.693233 
0.204445 0.692772 
0.20458 0.69231 
0.204715 0.691848 
0.20485 0.691387 
0.204985 0.690925 
0.205119 0.690462 
0.205254 0.69 
0.205388 0.689537 
0.205523 0.689075 
0.205657 0.688612 
